sentence_id,text,gold_label,prediction,correct,source,source_row_id,negative_logit,positive_logit,negative_probability,positive_probability,negative_base_value,positive_base_value,negative_sum_shap_values,positive_sum_shap_values,negative_reconstructed_logit,positive_reconstructed_logit,negative_additivity_residual,positive_additivity_residual,margin,margin_base_value_from_dual,margin_sum_shap_values_from_dual,margin_reconstructed_from_dual,margin_additivity_residual_from_dual,feature_count,content_feature_count,content_word_count,negative_mean_abs_word_shap,positive_mean_abs_word_shap,top_negative_increasing_word,top_negative_decreasing_word,top_positive_increasing_word,top_positive_decreasing_word,shap_model_evaluations,runtime_seconds
D01,"It's just disappointingly superficial—a movie that has all the elements necessary to be a fascinating, involving character study, but never does more than scratch the surface.",NEG,NEG,1,sst2_dev_curated,59,3.4692349433898926,-3.0463390350341797,0.9985219836235046,0.0014780182391405106,-2.1157150268554688,1.9040732383728027,5.584949970245361,-4.950412273406982,3.469234943389891,-3.0463390350341797,1.7763568394002505e-15,0.0,-6.515573978424072,4.0197882652282715,-10.535362243652344,-6.515573978424072,0.0,36,30,29,0.24532142820282898,0.21554875481730001,disappointingly (+2.1804),never (-0.1758),more (+0.1576),disappointingly (-1.9074),500,7.198063373565674
D02,"It provides the grand, intelligent entertainment of a superior cast playing smart people amid a compelling plot.",POS,POS,1,sst2_dev_curated,129,-4.210165023803711,4.0334038734436035,0.0002628751681186259,0.9997370839118958,-2.558265447616577,2.2288646697998047,-1.651899576187134,1.8045392036437988,-4.210165023803711,4.0334038734436035,0.0,0.0,8.243568420410156,4.787130117416382,3.456438779830932,8.243568897247314,-4.76837158203125e-07,21,17,17,0.1764841386500527,0.17173303597990205,it (+0.3256),grand (-0.5458),grand (+0.5495),it (-0.2721),500,4.231931447982788
D03,It's a bad thing when a movie has about as much substance as its end-credits blooper reel.,NEG,NEG,1,sst2_dev_curated,181,3.604917049407959,-3.3455731868743896,0.9990426898002625,0.0009572483249939978,-2.73142409324646,2.406937599182129,6.336341142654419,-5.7525107860565186,3.60491704940796,-3.3455731868743905,-8.881784197001252e-16,8.881784197001252e-16,-6.9504899978637695,5.138361692428589,-12.088851928710938,-6.950490236282349,2.384185791015625e-07,26,21,19,0.34072980098017863,0.3062317676744179,bad (+1.0789),when (-0.1148),when (+0.0849),bad (-0.9951),500,5.639488458633423
D04,"First-time writer-director Serry shows a remarkable gift for storytelling with this moving, effective little film.",POS,POS,1,sst2_dev_curated,603,-4.2597126960754395,4.068498134613037,0.0002415455674054101,0.9997584223747253,-2.7240912914276123,2.386018753051758,-1.5356214046478271,1.6824793815612793,-4.2597126960754395,4.068498134613037,0.0,0.0,8.328210830688477,5.11011004447937,3.2181007862091064,8.328210830688477,0.0,24,18,17,0.13996069810773226,0.13321522130703956,serry (+0.1216),effective (-0.3737),effective (+0.4213),director (-0.1111),500,5.064140558242798
D05,"The entire movie is about a boring, sad man being boring and sad.",NEG,NEG,1,sst2_dev_curated,212,3.1897449493408203,-3.079183340072632,0.9981093406677246,0.0018906757468357682,-1.9784941673278809,1.7135133743286133,5.168239116668701,-4.792696714401245,3.1897449493408203,-3.079183340072632,0.0,0.0,-6.268928527832031,3.692007541656494,-9.960935831069946,-6.268928289413452,-2.384185791015625e-07,17,13,13,0.5033986713183717,0.46169487985529345,boring (+1.9484),about (-0.4145),about (+0.3607),boring (-1.7334),408,3.115269660949707
D06,"It proves quite compelling as an intense, brooding character study.",POS,POS,1,sst2_dev_curated,327,-4.062894821166992,3.953249216079712,0.00032998155802488327,0.9996700286865234,-1.6368293762207031,1.4503986835479736,-2.426065444946289,2.5028505325317383,-4.062894821166992,3.953249216079712,0.0,0.0,8.016143798828125,3.0872280597686768,4.928915977478027,8.016144037246704,-2.384185791015625e-07,14,10,10,0.6540161804761737,0.5981275541009381,brooding (+1.0908),compelling (-1.7863),compelling (+1.7124),brooding (-0.8911),328,2.179697036743164
D07,"The film's hackneyed message is not helped by the thin characterizations, nonexistent plot, and pretentious visual style.",NEG,NEG,1,sst2_dev_curated,429,3.831613540649414,-3.4158151149749756,0.9992884397506714,0.0007114959880709648,-2.2578351497650146,2.036808729171753,6.0894486904144305,-5.452623844146727,3.831613540649416,-3.4158151149749747,-1.7763568394002505e-15,-8.881784197001252e-16,-7.247428894042969,4.294643878936768,-11.542072534561157,-7.24742865562439,-2.384185791015625e-07,31,25,18,0.45381059907204296,0.39208936972297836,hackneyed (+1.4294),visual (-0.4124),visual (+0.3446),hackneyed (-1.2022),500,6.823803901672363
D08,"The film is powerful, accessible, and funny.",POS,POS,1,sst2_dev_curated,504,-4.234848499298096,4.057709217071533,0.0002503106079529971,0.9997497200965881,-1.077944278717041,0.971910834312439,-3.1569042205810547,3.0857983827590942,-4.234848499298096,4.057709217071533,0.0,0.0,8.292557716369629,2.04985511302948,6.242702603340149,8.292557716369629,0.0,12,7,7,0.6341351926717574,0.5855983712660547,accessible (+0.2297),powerful (-2.0952),powerful (+1.9980),accessible (-0.2271),232,1.4066650867462158
D09,I got a headache watching this meaningless downer.,NEG,NEG,1,sst2_dev_curated,591,3.72121262550354,-3.3082923889160156,0.9991154074668884,0.0008845869451761246,-1.077944278717041,0.971910834312439,4.799156904220581,-4.280203223228455,3.72121262550354,-3.3082923889160156,0.0,0.0,-7.029504776000977,2.04985511302948,-9.079360127449036,-7.029505014419556,2.384185791015625e-07,12,9,8,0.694963127374649,0.5917947246925905,meaningless (+1.8118),watching (-0.2797),watching (+0.1961),meaningless (-1.5439),184,1.0829179286956787
D10,I had to look away; this was god-awful.,NEG,NEG,1,sst2_dev_curated,29,2.7700719833374023,-2.3037493228912354,0.9937804341316223,0.006219535134732723,-1.6368293762207031,1.4503986835479736,4.4069013595581055,-3.754148006439209,2.7700719833374023,-2.3037493228912354,0.0,0.0,-5.073821067810059,3.0872280597686768,-8.161049365997314,-5.073821306228638,2.384185791015625e-07,14,9,9,0.614132056517216,0.5319609517076364,awful (+3.6012),god (-0.4221),god (+0.4034),awful (-3.1284),264,1.7015318870544434
